recognize," vt. 认出,认可,承认,意识到,表示感激"
sack," n. 袋子, 劫掠
vt. 解雇, 劫掠, 把...装入袋子"
brook," n. 小河,溪
v. 容忍,忍受
vt. [常用于否定句或疑问句]容忍"
steep," adj. 险峻的, 陡峭的, (价格)过高的
vt. &vi. 浸泡,浸透, 使精通
n. 陡坡, 险峻的境地"
preferable," adj. 更好的, 更合意的"
comet, n. 彗星
influence," vt. 影响, 感化
n. 影响力, 势力; 影响, 权势
n. 有影响的人(或事物)"
investigate," vt. &vi. 调查,研究
[计算机] 研究"
debate," n. 辩论,讨论
vt. 争论,思考
vi. 商讨,辩论"
consistent," adj. 始终如一的, 一致的, 坚持的"
standard," n.标准，规格； 旗，军旗； 度量衡标准； 直立支柱
adj.标准的，合格的； 普遍的，一般的； 公认为优秀的"
achievement," n. 成就, 成绩, 完成, 达到"
sale," n. 销售(量),削价出售"
unfold," v. 展开, 开放, 显露"
stuff," n. 材料, 原料, 东西
n. 素质, 本质; 废物
vt. 填满, 塞满"
typewriter,n. n. 打字机
overtake," v. 赶上, 突然来袭, 压倒"
brittle, adj. 易碎的
chronic," adj. 长期的,慢性的,惯常的"
spin," n. 旋转, 疾驰
v. 纺织, 旋转, 拉长"
stimulate," vt. 刺激,激励,鼓舞
vi. 起刺激作用"
could, aux.“can”的过去式； 能够，打算； 用于假设语气的条件句； 用于虚拟语气的结论句
welfare," n. 福利,社会保障,幸福
adj. 福利的"
highland," n. 高地, 山地
Highland: 苏格兰高地"
consideration," n. 考虑, 体贴, 考虑因素, 敬重, 意见"
booth," n. 电话亭,货摊,小间"
compliment," n. 称赞,恭维,(复数)致意
vt. 称赞,恭维"
northwards, adv.向北
knob," n. 把手, 瘤"
jolly," adj. 愉快的, 高兴的, 宜人的
v. 恭维, 哄，开玩笑，戏谑
adv. 非常, 极为
n.（尤英)欢乐，欢庆
(复数）jollies:娱乐，乐趣"
destructive," adj. 破坏性的, 有害的"
budget," n. 预算
vt. 编预算,为…做预算
vi. 节省开支
adj. 不贵的，廉价的"
being," n. 人,生物,存在
vi. 存在, 处于, 举行, 去或来, 是
adj. 现在的,目前的"
supersonic," adj. 超声波的，超音速的
n. 超声波，超音速（飞机）"
unify," v. 统一,使成一体"
dialect, n. 方言
electron, n. 电子
anyway, adv. 不管怎样
faculty, n.能力，才能； 全体教职员； <英>（大学的）专科，系； 特权，特许
turn," vt.& vi.使转动； 旋转； 使改变方向； 使不适
vt.使变酸； 使变换； 使变为
n.翻转； （路线或方向的）改变； 机会"
heartily," adv. 衷心地, 热心地，彻底地"
export," vt. 输出，出口
n. 出口,输出品
vi. 传播,输出
adj. 出口的"
stranger, n. 陌生人
pasture," n. 牧场
v. 吃(草)
vt. 放牧"
immerse," vt. 浸,陷入"
turmoil," n. 骚动, 混乱"
strange," adj. 陌生的, 奇怪的"
racial," adj. 种族的,人种的"
guilt," n. 罪行, 内疚"
assurance," n. 保证,确信,肯定,自信,(人寿)保险"
such," adj. 如此的,这样的
pron. 这样的
adv. 如此地"
potential," adj.潜在的，有可能的； [语法学]可能语气的，表示可能性的； 有能力的
n.潜力，潜能； [物]电位，势能； 潜能的事物； [语]可能语气"
exploit," n. 功绩,勋绩
vt.&vi. 开发,利用,开拓"
saint," n. 圣人,圣徒
vt. 把...封为圣人"
advocate," vt.提倡； 拥护； 鼓吹； 为…辩护
n.（辩护）律师； 提倡者； 支持者"
certificate," n. 证(明)书,执照
vt. 批准，认可，发证书给..."
Oceania, n. 大洋洲
rouse," v. 唤醒, 鼓舞, 激起
n. 觉醒, 奋起"
similarly," adv. 相似地, 类似地"
British," adj. 英国的
n. 英国人, 英国英语"
priceless, adj. 无价的；极珍贵的；极重要的；极有趣的
doctrine," n. 教义,主义,学说;[古]教学,指导,指令指示;军事战略"
novel," adj. 新奇的
n. 小说"
periodical," n. 期刊
adj. 周期的, 定期的"
evolve," vt. &vi. 进展,进化,展开"
fatal," adj. 致命的, 毁灭性的, 决定性的"
district," n. 区,地区,行政区
vt. 划分区域,划分地区"
fitting," adj. 适合的, 恰当的
n. 试衣"
decision," n. 决定,决心"
genius," n. 天才, 高智力, 天赋"
